[2025-04-15 12:27:32,538] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\utils\elementFinderUtils\TestScript-ElementFinder.log
[2025-04-15 12:27:33,687] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\utils\BrowserUtils\browser_automation.log
[2025-04-15 12:27:33,689] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\Bookslot_info_otp_page.log
[2025-04-15 12:27:33,694] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\event_selection_page.log
[2025-04-15 12:27:33,703] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\RequestAppointmentPage.log
[2025-04-15 12:27:33,711] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\tests\ui\run_full_test.log
[2025-04-15 12:27:33,711] [INFO] [OK] Setting up driver directory...
[2025-04-15 12:27:33,712] [INFO] [OK] Old EdgeDriver paths removed from PATH.
[2025-04-15 12:27:33,712] [INFO] [OK] Terminating existing Edge/EdgeDriver processes...
[2025-04-15 12:27:34,160] [INFO] [OK] Edge/EdgeDriver processes terminated.
[2025-04-15 12:27:34,160] [INFO] [OK] Detecting local Edge version...
[2025-04-15 12:27:34,183] [INFO] [OK] Detected local Edge version: 136.0.3240.14
[2025-04-15 12:27:34,184] [INFO] [OK] Fetching compatible EdgeDriver version...
[2025-04-15 12:27:35,393] [INFO] [OK] Matched EdgeDriver version: 136.0.3240.14
[2025-04-15 12:27:35,394] [INFO] [OK] Starting EdgeDriver download from https://msedgedriver.azureedge.net/136.0.3240.14/edgedriver_win64.zip
[2025-04-15 12:27:38,357] [INFO] [OK] Downloaded EdgeDriver to ./drivers\edgedriver.zip
[2025-04-15 12:27:38,358] [INFO] [OK] Extracting EdgeDriver...
[2025-04-15 12:27:38,554] [INFO] [OK] Extracted EdgeDriver to ./drivers
[2025-04-15 12:27:38,557] [INFO] [OK] Temporary Edge profile created at C:\Users\LOKEND~1\AppData\Local\Temp\tmpij40li93
[2025-04-15 12:27:38,557] [INFO] [OK] Launching Edge browser with WebDriver...
[2025-04-15 12:27:43,006] [INFO] [OK] Browser is up and running. Geolocation applied.
[2025-04-15 12:27:43,007] [INFO] [OK] Browser launched with geolocation spoofed.
[2025-04-15 12:27:43,007] [INFO] [OK] Cleaning up resources...
[2025-04-15 12:27:45,537] [INFO] [OK] Cleanup completed.
[2025-04-22 15:29:26,689] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\utils\elementFinderUtils\TestScript-ElementFinder.log
[2025-04-22 15:29:29,721] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\utils\BrowserUtils\browser_automation.log
[2025-04-22 15:29:29,725] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\Bookslot_info_otp_page.log
[2025-04-22 15:29:29,728] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\event_selection_page.log
[2025-04-22 15:29:29,743] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\pages\RequestAppointmentPage.log
[2025-04-22 15:29:29,749] [INFO] [OK]-[LOGGING] Writing logs to: C:\Users\LokendraSingh\AutomationUtilities\tests\ui\run_full_test.log
[2025-04-22 15:29:29,750] [INFO] [OK] Setting up driver directory...
[2025-04-22 15:29:29,751] [INFO] [OK] Old EdgeDriver paths removed from PATH.
[2025-04-22 15:29:29,752] [INFO] [OK] Terminating existing Edge/EdgeDriver processes...
[2025-04-22 15:29:30,308] [INFO] [OK] Edge/EdgeDriver processes terminated.
[2025-04-22 15:29:30,309] [INFO] [OK] Detecting local Edge version...
[2025-04-22 15:29:30,322] [INFO] [OK] Detected local Edge version: 136.0.3240.29
[2025-04-22 15:29:30,322] [INFO] [OK] Fetching compatible EdgeDriver version...
[2025-04-22 15:29:31,867] [INFO] [OK] Matched EdgeDriver version: 136.0.3240.29
[2025-04-22 15:29:31,868] [INFO] [OK] Starting EdgeDriver download from https://msedgedriver.azureedge.net/136.0.3240.29/edgedriver_win64.zip
[2025-04-22 15:29:33,193] [INFO] [OK] Downloaded EdgeDriver to ./drivers\edgedriver.zip
[2025-04-22 15:29:33,194] [INFO] [OK] Extracting EdgeDriver...
[2025-04-22 15:29:33,497] [INFO] [OK] Extracted EdgeDriver to ./drivers
[2025-04-22 15:29:33,565] [INFO] [OK] Temporary Edge profile created at C:\Users\LOKEND~1\AppData\Local\Temp\tmpdqe4pn4f
[2025-04-22 15:29:33,565] [INFO] [OK] Launching Edge browser with WebDriver...
[2025-04-22 15:29:39,544] [INFO] [OK] Browser is up and running. Geolocation applied.
[2025-04-22 15:29:39,544] [INFO] [OK] Browser launched with geolocation spoofed.
[2025-04-22 15:29:39,544] [INFO] [OK] Cleaning up resources...
[2025-04-22 15:29:42,197] [INFO] [OK] Cleanup completed.
